item,itemLabel,date,deaths,country,countryLabel,latitude,longitude,coord
http://www.wikidata.org/entity/Q4242619,Aeroflot Flight 6709,1978-05-19T00:00:00Z,4,,,57.77661111,35.96926667,Point(35.96926667 57.77661111)
http://www.wikidata.org/entity/Q4338183,Osoaviakhim-1,1934-01-30T00:00:00Z,,,,53.866666666667,44.366666666667,Point(44.366666666 53.866666666)
http://www.wikidata.org/entity/Q4338183,Osoaviakhim-1,1934-01-30T00:00:00Z,,,,53.866666666667,44.366666666667,Point(44.366666666 53.866666666)
http://www.wikidata.org/entity/Q30149289,2017 Myanmar Air Force Shaanxi Y-8 crash,2017-06-07T00:00:00Z,122,,,13.8,98.033333333333,Point(98.033333333 13.8)
http://www.wikidata.org/entity/Q30633576,Southwest Airlines Flight 3472,2016-08-27T00:00:00Z,0,,,30.472,-87.188,Point(-87.188 30.472)
http://www.wikidata.org/entity/Q32900831,2017 United States Marine Corps KC-130 crash,2017-07-10T00:00:00Z,16,,,33.473,-90.449,Point(-90.449 33.473)
http://www.wikidata.org/entity/Q38251992,Pan Am Clipper Panama,,,,,52.716072222222,-8.8986944444444,Point(-8.898694444 52.716072222)
http://www.wikidata.org/entity/Q41486205,Air France Flight 66,2017-09-30T00:00:00Z,0,,,61.739419444444,-46.817027777778,Point(-46.817027777 61.739419444)
http://www.wikidata.org/entity/Q42924546,TWA Flight 6 (1935),1935-05-06T00:00:00Z,5,,,39.93,-92.59,Point(-92.59 39.93)
http://www.wikidata.org/entity/Q55600184,EAS Flight 602,1989-04-10T00:00:00Z,22,,,44.918888888889,5.1844444444444,Point(5.184444444 44.918888888)
http://www.wikidata.org/entity/Q55670380,1948 Guinea Air Traders Lockheed Hudson crash,1948-04-18T00:00:00Z,,,,-6.7325,146.95972222,Point(146.95972222 -6.7325)
http://www.wikidata.org/entity/Q56098339,2018 Vankor Field Mil Mi-8 crash,2018-08-04T00:00:00Z,,,,67.75527778,83.46138889,Point(83.46138889 67.75527778)
http://www.wikidata.org/entity/Q56308427,American International Airways Flight 808,1993-08-18T00:00:00Z,0,,,19.906944444444,-75.222222222222,Point(-75.222222222 19.906944444)
http://www.wikidata.org/entity/Q56345502,Overseas National Airways Flight 032,1975-11-12T00:00:00Z,,,,40.633333333333,-73.766666666667,Point(-73.766666666 40.633333333)
http://www.wikidata.org/entity/Q59503883,Fly Jamaica Airways Flight 256,2018-11-09T00:00:00Z,1,,,6.5069722222222,-58.24575,Point(-58.24575 6.506972222)
http://www.wikidata.org/entity/Q60776046,"2017 Medford, New Jersey Schweizer 269C crash",,,,,39.92893,-74.80659,Point(-74.80659 39.92893)
http://www.wikidata.org/entity/Q60846211,2019 English Channel Piper PA-46 crash,2019-01-21T00:00:00Z,1,,,49.82,-2.71,Point(-2.71 49.82)
http://www.wikidata.org/entity/Q61846653,Atlas Air Flight 3591,2019-02-23T00:00:00Z,3,,,29.763888888889,-94.714722222222,Point(-94.714722222 29.763888888)
http://www.wikidata.org/entity/Q63456017,Miami Air Flight 293,2019-05-03T00:00:00Z,,,,30.2318,-81.6703,Point(-81.6703 30.2318)
http://www.wikidata.org/entity/Q64532497,2019 New York City helicopter crash,2019-06-10T00:00:00Z,1,,,40.761882,-73.982181,Point(-73.982181 40.761882)
http://www.wikidata.org/entity/Q70141439,Ukraine Air Alliance Flight 4050,2019-10-04T00:00:00Z,5,,,49.791388888889,23.985555555556,Point(23.985555555 49.791388888)
http://www.wikidata.org/entity/Q78552785,1983 Anchorage runway collision,1983-12-23T00:00:00Z,0,,,61.1697,-150.0062,Point(-150.0062 61.1697)
http://www.wikidata.org/entity/Q83175978,TWA Flight 5787,1969-07-26T00:00:00Z,5,,,39.453888888889,-74.571716666667,Point(-74.571716666 39.453888888)
http://www.wikidata.org/entity/Q85740912,Allegheny Airlines Flight 604,1965-07-23T00:00:00Z,,,,41.341,-76.799,Point(-76.799 41.341)
http://www.wikidata.org/entity/Q85753460,Comair Flight 206,1988-03-01T00:00:00Z,17,,,-26.21777778,28.16722222,Point(28.16722222 -26.21777778)
http://www.wikidata.org/entity/Q86684777,Q86684777,1987-10-15T00:00:00Z,,,,45.9094,9.2834,Point(9.2834 45.9094)
http://www.wikidata.org/entity/Q86733032,Evergreen International Airlines Flight 17,1989-03-18T00:00:00Z,2,,,32.910833333333,-97.4125,Point(-97.4125 32.910833333)
http://www.wikidata.org/entity/Q90500093,Alitalia Flight 1553,1999-02-25T00:00:00Z,4,,,44.4141,8.8246,Point(8.8246 44.4141)
http://www.wikidata.org/entity/Q90500337,Aeroflot Flight 9981,1996-10-08T00:00:00Z,2,,,45.22527778,7.65555556,Point(7.65555556 45.22527778)
http://www.wikidata.org/entity/Q90500563,Lufthansa Cargo Flight 8533,1999-07-07T00:00:00Z,5,,,27.68333333,85.35,Point(85.35 27.68333333)
http://www.wikidata.org/entity/Q90500563,Lufthansa Cargo Flight 8533,1999-07-07T00:00:00Z,5,,,27.68333333,85.35,Point(85.35 27.68333333)
http://www.wikidata.org/entity/Q93989720,Air Tahoma Flight 587,2008-09-01T00:00:00Z,3,,,39.798333333333,-82.979166666667,Point(-82.979166666 39.798333333)
http://www.wikidata.org/entity/Q93990392,Aeroméxico Flight 110,1981-11-08T00:00:00Z,18,,,17.653247,-100.954056,Point(-100.954056 17.653247)
http://www.wikidata.org/entity/Q97329973,Air Inter Flight 696,1972-10-27T00:00:00Z,60,,,45.836383333333,3.7258333333333,Point(3.725833333 45.836383333)
http://www.wikidata.org/entity/Q97495283,1953 Sabena Convair Crash,1953-10-14T00:00:00Z,44,,,50.061667,8.531112,Point(8.531112 50.061667)
http://www.wikidata.org/entity/Q97861115,Air Caribbean Flight 309,1978-09-26T00:00:00Z,6,,,18.44,-66.012,Point(-66.012 18.44)
http://www.wikidata.org/entity/Q101424816,West Coast Airlines Flight 703,1963-01-17T00:00:00Z,3,,,40.82222222,-112.26277778,Point(-112.26277778 40.82222222)
http://www.wikidata.org/entity/Q104776742,Ryan International Airlines Flight 590,1991-02-17T00:00:00Z,,,,41.405,-81.858333333333,Point(-81.858333333 41.405)
http://www.wikidata.org/entity/Q104776752,Icelandair Flugfélag Islands Flight Fl 704,1970-09-26T00:00:00Z,,,,62.10507,-7.589285,Point(-7.589285 62.10507)
http://www.wikidata.org/entity/Q105757603,Sabena Flight 877,2000-12-04T00:00:00Z,0,,,-3.32388889,29.31861111,Point(29.31861111 -3.32388889)
http://www.wikidata.org/entity/Q105856116,2021 Xumabee Game Ranch helicopter crash,2021-03-05T00:00:00Z,,,,-23.4393,25.7516,Point(25.7516 -23.4393)
http://www.wikidata.org/entity/Q106785141,Q106785141,,,,,33.556944,-7.660556,Point(-7.660556 33.556944)
http://www.wikidata.org/entity/Q108111717,Ameristar Charters Flight 9363,2017-03-08T00:00:00Z,0,,,42.22814,-83.54242,Point(-83.54242 42.22814)
http://www.wikidata.org/entity/Q108793584,Omega Aerial Refueling Services Flight 70,2011-05-18T00:00:00Z,0,,,34.12027778,-119.12111111,Point(-119.12111111 34.12027778)
http://www.wikidata.org/entity/Q108793584,Omega Aerial Refueling Services Flight 70,2011-05-18T00:00:00Z,0,,,34.12027778,-119.12111111,Point(-119.12111111 34.12027778)
http://www.wikidata.org/entity/Q109568547,1955 Bykovo plane accident,,,,,55.62222222,38.06388889,Point(38.06388889 55.62222222)
http://www.wikidata.org/entity/Q110386580,Q110386580,1982-07-13T00:00:00Z,,,,51.627278,20.545389,Point(20.545389 51.627278)
http://www.wikidata.org/entity/Q111938119,Turkish Airlines Flight 1019,,,,,42.586388888889,21.033888888889,Point(21.033888888 42.586388888)
http://www.wikidata.org/entity/Q122443214,Ural Airlines Flight 1383,2023-09-12T00:00:00Z,0,,,55.236388888889,79.758,Point(79.758 55.236388888)
http://www.wikidata.org/entity/Q122909101,2023 Manaus Aerotáxi Embraer Bandeirante crash,2023-09-16T00:00:00Z,,,,-0.981111,-62.919444,Point(-62.919444 -0.981111)
http://www.wikidata.org/entity/Q28110728,Q28110728,1976-03-23T00:00:00Z,,,,35.612777777778,139.66055555556,Point(139.660555555 35.612777777)
http://www.wikidata.org/entity/Q28674899,Obidowiec Air Crash,1973-05-25T00:00:00Z,,,,49.560167,20.068194,Point(20.068194 49.560167)
http://www.wikidata.org/entity/Q4355070,TWA 841 (1974),1974-09-08T00:00:00Z,89,,,38.4167,19.3667,Point(19.3667 38.4167)
http://www.wikidata.org/entity/Q4451541,Q4451541,1976-09-26T00:00:00Z,5,,,54.97677778,82.87141667,Point(82.87141667 54.97677778)
http://www.wikidata.org/entity/Q4563221,1933 Imperial Airways Ruysselede crash,1933-12-30T00:00:00Z,10,,,51.078327777778,3.3348444444444,Point(3.334844444 51.078327777)
http://www.wikidata.org/entity/Q4563370,1934 Air France Wibault 282T crash,1934-05-09T00:00:00Z,6,,,50.7819,1.145,Point(1.145 50.7819)
http://www.wikidata.org/entity/Q4563408,1934 Hillman's Airways de Havilland Dragon Rapide crash,1934-10-02T00:00:00Z,7,,,51.0269,1.23,Point(1.23 51.0269)
http://www.wikidata.org/entity/Q4565706,1946 Antarctica PBM Mariner crash,1946-12-30T00:00:00Z,,,,-72.1,-99.0,Point(-99.0 -72.1)
http://www.wikidata.org/entity/Q4565736,1946 KLM Douglas DC-3 Amsterdam accident,1946-11-14T00:00:00Z,26,,,52.308056,4.764167,Point(4.764167 52.308056)
